N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared		Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Comentario a la fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Descripción del ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase
					m04_s02_021_x	Relicario de Santos Carmelitas	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Plata repujada		"Este relicaro fue un regalo hecho a la Orden de Santos Carmellitas. En él podemos ver dentro piezas originales ""reliquias"" tiene un valor histórico y de fé. la teca en media luna contiene un escrito del puño de Santa Teresa,. En la parte baja derecha, algunos fragmentos de tela pequeñas pertenecientes a los hábitos de algunos santos y santas carmelitas. Orden que fue popular en algún momento en toda Europa sobre todo por el trabajo que realizó Santa Teresa. De otro lado una astilla de madera que se le atribuye a otro santo. Para la orden carmelita las donaciones de estas reliquias fueron muy importantes. Está hecho en plata, contiene las reliquias de santos y santas de la Orden Carmelita, que entre otras reliquias, contiene un fragmento escrito hace alrededor de 450 años por la propia Santa Teresa de Jesús. En el mismo relicario hay un pequeñísimo fragmento de madera, tradicionalmente se considera que perteneció a la Cruz de Cristo, propiamente se le llama: Lignum Crucis."	Primera mitad siglo XIX																							m04_s01_021_x	c_08/03_05;                           c_12/05_01	Objetos ceremoniales de comunicación; Mobiliario como artes decorativas	Objetos religiosos del cristianismo;                   Mobiliario religioso	
					m04_s02_022_x	Cátedra de Santa Teresa	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		"En la pintura se observa a Santa Teresa con la mano derecha en alto y en la mano izquierda porta un libro.  Ella se encuentra predicando a un grupo de sabios doctores, como reza en el escrito del lienzo ubicado en la parte inferior izquierda ""Sentada Teresa en su cátedra, disputa con los más sabios doctores.  Quedan admirados al oirla, aplaudiendo tan celestial doctrina y tuvieron que aprender mucho de su soberana escuela, dando gracias al Creador que la dotó con tanta sabiduría""."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_022_x	c_11/02_06_01	Pinturas de arte fino	Oleos de Retratos religiosos del cristianismo	
					m04_s02_023_x	Profeta Elías en su ermita	Desconocido	No aplica	No registra información	Evangelizar visualmente a través del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		En esta pintura obserbamos al Profeta Elias, sentado conversando con Dios, quien pareciera estar sentado en una roca con el mundo con una cruz en su regazo	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_023_x	c_11/02_06_01	Pinturas de arte fino	Oleos de Retratos religiosos del cristianismo	
	Cerámica Wari Vaso Ceremonial																																																
	Cerámica Wari Figura Antropomorfa					SALA 3: SALA DE LA NATIVIDAD Y DE LA SAGRADA FAMILIA            Sala originalmente llamada de la Ropería, en ella se pueden observar todavía una serie de roperos. En esta sala las monjas hacían sus bordados, sus costuras y otras elaboraciones, delicadamente trabajadas.  En los roperos se guardaban el material trabajado. 															Originariamente funcionaba aquí la Ropería, en donde las religiosas hacían sus hábitos y otras confecciones. Como Museo, esta es la Sala de la Natividad y la Sagrada Familia. La pieza más importante de la Sala, y una de las más valiosas de la colección, es el impresionante Baúl de la Natividad, cuyas piezas fueron hechas hacia 1730, en Quito, Ecuador, y traídas desde allí a lomo de mula. Los mandó a hacer un sacerdote de apellido Arbe, hermano de las señoritas Arbe, quienes regalaron el terreno sobre el que se construyó este monasterio. Este Baúl de la Natividad, el de mayor calidad artística, el más grande, y el mejor conservado que en el continente se conoce hasta el momento, tiene decenas de pequeños personajes que forman 11 escenas de la historia sagrada que van desde el Jardín del Edén, hasta el Bautismo de Cristo.																												
					m04_s03_024_x	Sagrada Familia de la Virgen María	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Maguey y tela encolada. Plata repujada. Bordados en oro y plata	md_10	En esta vitrina vemos a la Sagrada Familia mostrada en bulto, redondo, con articulaciones movibles, los personajes de esta vitrina tienen trajes hechos  con tela de la época traída de europa y que las monjas elaboraban. En este caso los personajes tienen cabello humano y como dije anteriormente articulaciones movibles para que puedan ser vestidas.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_024_x	c_11/05_17_01; c_12/17_1	Escultura como arte fino; Mobiliario como artes decorativas	Escultura en bulto redondo de cuerpo entero en fibra vegetal (maguey) tema religioso; Bordados sacros	
					m04_s03_025_x	Baúl de la Natividad	Desconocido	No aplica	No registra información		Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Madera talla y dorada, tela encolada		"Este bello retablo, es una de las más valiosas piezas de la colección religiosa del museo.  Es una obra invaluable del museo. Es un baúl el que al quedar cerrado ninguna de sus piezas cae ni choca con la otra, todo encaja a la perfección.  Muestra al impresionante baúl de la Natividad cuyas piezas fueron hechas hacia 1730 en Quito Ecuador, por la escuela quiteña de arte,  y traídas desde allí a lomo de mula. Recordemos que en la época virreynal Quito pertenecía al Perú. La escuela Cusqueña de Arte fue la más importante importante en américa y en Quito se abrió otro referente importante en el Arte.  Los mandó a hacer un sacerdote de apellido Arbe, hermano de las señoritas Arbe, protectoras del Monsterio, quienes regalaron el terreno sobre el que se construyó este monasterio. Este Baúl de la Natividad, el de mayor calidad artística, el más grande, y el mejor conservado que en el continente se conoce hasta el momento, tiene decenas de pequeños personajes que forman 11 escenas de la historia sagrada que van desde el Jardín del Edén, hasta el Bautismo de Cristo. 
Los personajes están tallados en madera, policromados, y decorados con oro a punta de pincel.  El tallado de las piezas en en bulto redondo.  Este baúl nos muestra diversas escenas dela vida de Jesús. La escena principal siempre está el nacimiento al lado de sus padres María y José.  En la parte delantera podemos ver la escena de ""La matanza de los inocentes, con el Rey Herodes en el medio"";  también observamos la escena de ""La Huída a Egipto de María, José y el niño"" con la Virgen María que lleva un sombrero,  con el niño envuelto a usansa andina; observamos también la representación del Jardín del Edén que muestra un lugar lleno de árboles, con la presencia  de los primeros seres humanos Adán y Eva junto al árbol de la vida y el diablo representado como mitad ángel-mitad serpiente;  observamos también la presencia de otros seres como parte de este jardín,  tal como ""el minotauro"" ubicado en un esquina. "	1730	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_025_x	c_11/05_12_01; c_12/05_01	Escultura como arte fino; Mobiliario como artes decorativas	Escultura en bulto redondo de cuerpo entero en madera tema religioso; Mobiliario religioso	
					m04_s03_026_x	Piezas de nacimientos de diversas épocas	Desconocido	No aplica	No registra información		Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Diversos materiales		En esta vitrina podemos observas diversas piezas , con las que la hermanas armaban el nacimiento, podemos ver a los reyes magos, pobladores españoles de la eópca por la vestimenta, animales, músicos,  pastores;  hechos en madera maguey y pasta modelada. Además vemos una imagen importante, un Angel Andino, un ser divino, por ello lleva alas, alas que no son de plumas sino placas de oro, que simboliza américa por su riqueza, y en otros casos de plata;  el angel porta la mascaipacha, la misma que sólo se le imponía a un personaje con poder en la época del incanato; apreciamos además que el color del cabello y la piel son claros y mas europeizados, asi como sus vestimentas.  A través de este trabajo el artista trata de mostrar es el sincretismo que existió entre lo europeo y lo andino.	diversas épocas																							m04_s01_026_x	c_11/05_12_01; c_11/05_12_05	Escultura como arte fino;	Escultura en bulto redondo de cuerpo entero en madera tema religioso; Escultura en bulto redondo de cuerpo entero en madera tema de animales	
					m04_s03_027_x	Vitrina con a) Niño Jesús b) Niño Manuelito c) Niño Jesús	Desconocido	No aplica	No registra información		Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	a) Mármol tallado y policromado b) Madera tallada y policromada c) Pasta modelada y policromada		En esta vitrina podemos observas tres Niños Jesús, estos niñitos son de la Escuela Cusqueña de Arte. Vemos una urna y dos cunitas elaboradas en madera con la técnica del pan de oro. En la urna vemos a un niñito Jesús pequeñito, vestido con corona y cetro recostado sobre su lado izquierdo. El segundo niñito es el que podemos observar arriba el mas grande en su cuna tambien vestido y recostado sobre su lado izquierdo, y el 3er niñito abajo en su cuna tambien vestido, sin embargo este se le muesta dormido. Llos tres niñitos son representaciones de la escuela Cusqueña de arte, por lo tanto tienen cabello natural, y sus paladares son de oro, y el brillo de su piel muy natural ya que usaban la técnica de la vejiga de cordero.	Siglo XIX                       Siglo XVIII                          Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_027_x	a) c_11/05_11_01;              b) c_11/05_12_01                          c) c_11/05_12_01                          	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en piedra tema religioso; Escultura en bulto redondo de cuerpo entero en madera tema religioso; Escultura en bulto redondo de cuerpo entero en madera tema religioso	
					m04_s03_028_x	Huida a Egipto	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Maguey con tela encolada. Brocados de oro y plata. Plata laminada	md_10	"La obra muestra una de la formas en la que la Sagrada Familia ha sido representada en el campo artístico: La escena de la ""Huída a Egipto""  con María sobre la mula, el niño en sus brazos, y San José jalando al burro.  REVISAR Este óleo presenta una escena que tiene varias representaciones en la Escuela Cusqueña. Se aprecia al Niño Jesús caminando en medio de sus padres, la Virgen María y San José, el Niño está cogido de la mano derecha de la Virgen y la otra mano se apoya en un bastón de madera: al otro lado San José toca el hombro del niño con la mano derecha en señal de guía y protección. La escena es coronada por la imagen de Dios acompañado de ángeles, quien se encuentra en el cielo con la mirada hacia la Sagrada Familia y con los brazos abiertos como asegurándoles su protección. Destacan en la obra los colores rojo, verde, crema y celeste, y principalmente decoraciones doradas en el vestuario de los tres personajes. Detalles típicos de la Escuela Cusqueña."	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_028_x	 c_11/05_17_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en fibra vegetal (maguey) tema relligioso	
					m04_s03_029_x	San José con el Niño	Desconocido	No aplica	No registra información		Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Madera tallada, telas con bordados en oro y plata	md_10	Esta vitrina muesta a San José con el niño en brazos, la urna traída desde Cajamarca, elaborada por artistas cajamarquinos, se reconoce por la técnica de madera tallada revestida en cristal o espejo tiene aplicaciones de flores guiadas sobre el espejo. La escultura es de bulto redondo con articulaciones movibles, tenemos a un San José coronado y vestido muy elegante el traje esta bordado con hijos de oro y plata, lleva la flor de liz que representa a San José  en su mano derecha, . Vemos al Niñito Jesús con un elegante traje sostenido por San José su padre con la mano izquierda.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_029_x	c_11/05_12_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en madera tema relligioso	
