N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto en centímetros	Dimensión: Ancho en centímetros	Dimensión: Largo en centímetros	Dimensión: Profundidad en centímetros	Peso	Estado actual del objeto	Material del objeto (tècnica usada)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte o Código de la Fecha	Comentario a la fecha de creación del objeto/obra de arte	Código Período	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	List de enlaces que describen la clase
	Cerámica Mochica Vasija Monocroma Diseño Antropomorfa				m02_s01_025_x	Cerámica Mochica Botella escultórica monócroma Diseño Antropomorfo	Artesano Mochica	Ninguno	No asignado	Almacenar, transportar o servir líquidos y probablemente para fines ceremoniales	Museo  Convento La Recoleta	15.3	8.2	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Molde y modelado	md_01_05, md_03, md_03_03	Botella escultórica de cuerpo globular, con una figura de cabeza humana en la base del gollete. Base pedestal. Color marrón abrillantado por un buen trabajo de pulido.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Técnica molde completo o parcial	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_025_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Mochica Vasija AsaPuente Pintada				m02_s01_026_x	Cerámica Mochica Botella Asa estribo	Artesano Mochica	Ninguno	No asignado	Almacenar, transportar o servir líquidos y probablemente para fines ceremoniales	Museo  Convento La Recoleta	16.5	11	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Molde	md_01_05, md_03, md_03_02	Botella con gollete alargado y asa estribo, con diseños geométricos con líneas y puntos; base plana.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Técnica molde completo o parcial	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_026_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Mochica Vasija Sonora Monocroma 				m02_s01_027_x	Cerámica Mochica Botella Asa Estribo	Artesano Mochica	Ninguno	No asignado	Almacenar, transportar o servir líquidos y probablemente para fines ceremoniales	Museo  Convento La Recoleta	16	9	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Molde	md_01_05, md_03, md_03_02	Botella color negro, de apariencia brillante,  de dos cuerpos unidos por un asa en forma de arco y un pico o gollete alargado.  Conocida como botella asa estribo. En esta botella sagrada se recreó el circuito del agua que los pobladores de la costa norte observaban en la naturaleza.	p_01_04	Entre los años del período	p_01_04	Intermedio temprano	Desconocida	Desconocida	Desconocida	Desconocida	Técnica molde completo o parcial	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_027_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Chimu Vasija Asapuente Dios 				m02_s01_028_x	Cerámica Chimú Botella escultórica asa puente con figura de un dios 	Artesano Chimú	Ninguno	No asignado	Almacenar, transportar o servir líquidos y probablemente para fines ceremoniales	Museo  Convento La Recoleta	21.5	15.2	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03, md_03_01	Botella escultórica, de cuerpo globular, con base de pedestal, formada por un contenedor con dos picos laterales inclinados unidos por un asa puente cintada, con la figura de un tumi (dios Chimú) encima del centro del asa. Este tipo de botella representaría el flujo del agua que brota de las profundidas de la tierra hacia el mundo de arriba. 	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_028_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Chimu Vasija Asapuente Dios II				m02_s01_029_x	Cerámica Chimú Botella escultórica asa puente con figura de un dios 	Artesano Chimú	Ninguno	No asignado	Almacenar, transportar o servir líquidos y probablemente para fines ceremoniales	Museo  Convento La Recoleta	21.5	15.2	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03, md_03_01, md_03_03	Botella escultórica, de cuerpo globular, con base de pedestal, con dos picos laterales inclinados unidos por un asa puente cintada, con la figura de un tumi (dios Chimú) encima del centro del asa	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_029_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Vasija antropomorfa monócroma de la cultura Chimú				m02_s01_030_x	Cerámica Chimú Botella escultórica antropomorfa monócroma 	Artesano Chimú	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua. Objeto ceremonial funerario	Museo  Convento La Recoleta	17.9	13.4	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03, md_03_03	Botella escultórica, de cuerpo globular, con figura antropomorfa sobre el cuerpo con orejas prominentes. Color negro brillante.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_030_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Chimu. Vasija Sonora 				m02_s01_031_x	Cerámica Chimú Botella Sonora 	Artesano Chimú	Ninguno	No asignado	Recipiente para lìquidos que tambièn pudo ser utilizado como objeto ritual.	Museo  Convento La Recoleta	12.5	12.5	No registra	No registra	No registra	Regular estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03, md_03_04	Botella silvadora, con gollete estribo multiple. Color negro brillante.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_031_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Chimu Vasija Asapuente Diseño Geometrico Rostro Tallado Esculpido				m02_s01_032_p	Cerámica Chimú Botella escultórica con asa estribo y diseños geométricos.	Artesano Chimú	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua. Objeto ceremonial funerario	Museo  Convento La Recoleta	15.3	12.5	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03, md_03_02, md_03_03	Botella monócroma de cuerpo globular con gollete y  asa estribo, diseños geométricos en el cuerpo y en el asa, con una cara en la base del gollete. Color negro brillante.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_032_p	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Chimu Vasija Monocroma con Asa				m02_s01_033_x	Cerámica Chimú Botella monócroma con asa lateral cintada	Artesano Chimú	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua. Objeto ceremonial funerario	Museo  Convento La Recoleta	12.5	12.5	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: arcilla trabajada con molde, quemada en tono plomo; en horno cerrado. Color negro brillante	md_01_13, md_03	Botella con cuello alargado y dos asas cintadas de apoyo entre la boca del gollete y el cuerpo. Color negro brillante.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_033_x	c_07/01_01;                               c_04/01_06;   c_04/02_01;            c_08/03_01; 	Objetos para manipulación y transporte; Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos; Objetos ceremoniales de comunicación.	Contenedores; equipo de almacenamiento de alimentos; vasijas para beber; objetos ceremoniales de comunicación.	
	Cerámica Chancay Vasija Jarron Antropomorfo 				m02_s01_034_p	Cerámica Chancay Cántaro escultórico Antropomorfo 	Artesano Chancay	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	38	20.3	No registra	No registra	No registra	Buen estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_14, md_03, md_03_03	Cántaro escultórico antropomorfo, con ojos prominentes y artes, que posiblemente fue usado en ceremonias.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_034_p	c_07/01_01;                         c_04/01_06; c_04/02_07;     c_08/03_01	Contenedores; equipo de almacenamiento de alimentos; recipientes de servicio; 	Contenedores; equipo de almacenamiento de alimentos, Recipientes de servicio; Objetos funerarios y ceremoniales	
	Cerámica Chancay Vasija con Asas Diseño Pintura sapos				m02_s01_035_x	Cerámica Chancay Cántaro con Diseños geométricos	Artesano Chancay	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.   Objeto ceremonial	Museo  Convento La Recoleta	28	25.5	No registra	No registra	No registra	Regular estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_14, md_03	Cántaro con diseños geométricos, líneas y puntos, en regular estado de conservación, asas pequeñas a ambos lados del cuerpo.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_035_x	c_07/01_01;                         c_04/01_06; c_04/02_07;     c_08/03_01	Contenedores; equipo de almacenamiento de alimentos; recipientes de servicio; 	Contenedores; equipo de almacenamiento de alimentos, Recipientes de servicio; Objetos funerarios y ceremoniales	
	Cerámica Chancay Vasija con Asas Diseño Pintura Mono				m02_s01_036_x	Cerámica Chancay Cántaro escultórico 	Artesano Chancay	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	30.5	23	No registra	No registra	No registra	Regular estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_14, md_03, md_03_03	Cántaro escultórico de gran proporción, cuerpo ovoide,  con diseños geométricos, líneas verticales  líneas horizontales, líneas en zig zag, semicírculos, puntos y reticulado; con aplicación escultórica zoomorfa en la parte superior del cuerpo.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_036_x	c_07/01_01;                         c_04/01_06; c_04/02_07;     c_08/03_01	Contenedores; equipo de almacenamiento de alimentos; recipientes de servicio; 	Contenedores; equipo de almacenamiento de alimentos, Recipientes de servicio; Objetos funerarios y ceremoniales	
	Cerámica Chancay Vasija con Asas				m02_s01_037_x	Cerámica Chancay  Cántaro escultórico 	Artesano Chancay	Ninguno	No asignado	Almacenar, transportar o servir líquidos, como chicha o agua.  Pudo ser utilizado también para ceremonias rituales	Museo  Convento La Recoleta	25.5	23	No registra	No registra	No registra	Regular estado de conservación	Material: Arcilla Técnica usada: Modelado	md_01_14, md_03, md_03_03	Cántaro escultórico de gran proporción, con dos asas pequeñas cintadas que unen el gollete y cuerpo; con diseños geométricos en el cuerpo y en el gollete; con aplicación escultórica en la base del gollete.	p_01_06	Entre los años del período	p_01_06	Intermedio tardío	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Arqueología,  Arte precolombino y cerámica	Sala 1					m02_s01_037_x	c_07/01_01;                         c_04/01_06; c_04/02_07;     c_08/03_01	Contenedores; equipo de almacenamiento de alimentos; recipientes de servicio; 	Contenedores; equipo de almacenamiento de alimentos, Recipientes de servicio; Objetos funerarios y ceremoniales	
