DESCRIPCIÓN	Sala	Vitrina / Pared	Clase	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad                 suya ?	Fecha de ingreso al museo	Descripción de ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	Lista de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos	Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase		
Fajín de don José Trinidad Morán 	2	2		m01_s02_060	Cinturón perteneciente a Don José Trinidad Morán	Desconocido	396439000xxx	Parte de la indumentaria militar para demostrar el rango del militar que lo portaba.	Museo Histórico Municipal de Arequipa	No aplicable	3.5 cm	50 cm	No aplicable	No aplicable	No definido	Poco conservado	Tela de algodón color café, bordada con hilos de seda de color dorado.	Sobre el objeto: Se observa un cinturón de color café, bordado con hilos de seda de color dorado, con formas geométricas. Sobre el personaje relacionado: El teniente coronel don José Trinidad Morán quien fue un militar que participó en la campaña de Independencia de Perú  (Batalla de Ayacucho 1824). Nacido en Venezuela el año de 1796 y falleciò en 1854, nacionalizado peruano, sus últimos día los vivió en Arequipa.	Probablemente alrededor de la primera mitad del siglo XIX	p_02_03	Epoca republicana	Probablemente a inicios del siglo XIX	Probablemente a inicios del siglo XIX	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_060	c_08/07_02; c_08/04_09	Símbolos  de Estado; Objetos documentales de comunicación.	Símbolos de Estado, uniforme militar, personajes histórico-militares,  guerras  Perú; reliquias históricas,  siglo XIX.			
Primera réplica de la espada de don José de San Martín 	2	2		m01_s02_061	Primera rèplica de la Espada de parada perteneciente al General Don José de San Martín 	Desconocido	396439000xxx	Reproducción de  un arma de guerra utilizada por el personaje histórico	Museo Histórico Municipal de Arequipa	No aplicable	No definido	sable 60 cm            vaina 40 cm	No aplicable	No definido	No definido	Conservado	Metal	"Sobre el objeto: Se observa una espada de metal, de color plateada, y la funda en colores plateado y dorado. Sobre el personaje relacionado: José Francisco de San Martín y Matorras. Nació en Yapeyú - Argentina en el año 1778.  Fue un político y militar, reconocido como el ""Libertador de Argentina, Chile y Perú"". El 15 de julio de 1821 firma el Acta de la Independencia del Perú y el 28 de julio de 1821, en una ceremonia pública, proclama la  Independencia del Perú. Tras declarar la indepencia se queda en el Perú bajo el título de protector, gobernante civil y líder militar del Perú. El 26 de julio de 1822, tuvo un encuentro memorable  para la historia de América del Sur, José de San Martín se reunió con Simón Bolívar en la ciudad de Guayaquil, hoy Ecuador. Los dos libertadores conversaron en secreto por más de 4 horas y San Martín retornó a Lima la noche del mismo día. "	Desconocida	Desconocido	Desconocido	Deconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_061	c_05/03_05; c_08/04_09	Armamento; Objetos memorables y conmemorativos	Armamento; Armas afiladas, personajes de guerras, Perú; reliquias históricas, siglo XIX.			
Caja con tierra extaida de la casa de don José de San Martín en  Yapeyú Argentina	2	2		m01_s02_062	Cofre con tierra, extaida del Solar Donde nació Don José de San Martín 	Desconocido	(396450000005)	Reliquia histórica para demostrar la realidad vivencial de un personaje histórico	Museo Histórico Municipal de Arequipa	10 cm	20 cm	31.2 cm	No aplicable	No definido	No definido	Conservado	Madera y tierra	"Sobre la obra: Se muestra un cofre antigüo de madera, conteniendo tierra. La tierra fue extraída del Solar de Yapeyú, Argentina, lugar donde nación don  José de San Martín. Sobre el personaje relacionado:  José Francisco de San Martín y Matorras. Nació en Yapeyú - Argentina en el año 1778 y falleció en 1850.  Fue un político y militar, reconocido como el ""Libertador de Argentina, Chile y Perú"".´El retrato lo muestra con su uniforme militar. El 15 de julio de 1821 firma el Acta de la Independencia del Perú y el 28 de julio de 1821, en una ceremonia pública, proclama la  Independencia del Perú. Tras declarar la indepencia se queda en el Perú bajo el título de protector, gobernante civil y líder militar del Perú. El 26 de julio de 1822, tuvo un encuentro memorable  para la historia de América del Sur, José de San Martín se reunió con Simón Bolívar en la ciudad de Guayaquil, hoy Ecuador. Los dos libertadores conversaron en secreto por más de 4 horas y San Martín retornó a Lima la noche del mismo día. "	Probablemente finales del siglo XIX	p_02_03	Epoca republicana	Probablemente finales del siglo XIX	Probablemente finales del siglo XIX	ninguna	ninguna	ninguna	ninguno	No aplicable	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_062	c_08/04_09	Objetos documentales de comunicación	Objetos documentales, suscesos memorables,  reliquias históricas, personajes historicos de Perú			
Otros									Museo Histórico Municipal de Arequipa																																				
Cuadro chico Batalla de Ayacucho 				m01_s02_063	" ""Batalla de Ayacucho - 1824"""	Herrera Coro (pintor) - Martín Tovar (boceto)	396439000435	Ilustrar y registrar  un momento de una hazaña de guerra, en la historia del Perú.	Museo Histórico Municipal de Arequipa	50 cm	96 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra:  El boceto original fue hecho por  Martín Tovar y Tovar; la pintura  fue realizada  por Herrera Toro.  En la pintura se observa: en el centro, a nueve hombres montando caballos y celebrando (levanta su bicornio como símbolo de victoria) mientras en un extremo está el ejército vencedor, celebrando; y en el otro extremo yacen los cadáveres de los derrotados. Sobre el tema de la pintura: Salón Elíptico del Palacio Federal 1906.  Sobre la Batalla de Ayacucho : El 9 de diciembre de 1824, las fuerzas realistas al mando del virrey español don José de la Serna e independentistas, al mando de Antonio José de Sucre se enfrentaron en la Pampa de la Quinua - Ayacucho.  Esta batalla significó el final del dominio colonial español en América del Sur.                                  	Desconocida	Desconocido	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_063	c_11/02_02	Pinuras de arte fino	Acuarela;  escenas históricas,  guerras Perú del siglo XIX.			
Cuadro chico Batalla Junín (6 de agosto 1824)				m01_s02_064	"""Batalla de Junín - 1824"""	Martín Tovar y Tovar	396439000434	Ilustrar y registrar gráficamente un momento de una hazaña de guerra, en la historia del Perú.	Museo Histórico Municipal de Arequipa	50 cm	88 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Acuarela	Sobre la obra: En la pintura se observan siete hombres montandos a caballo (dos en caballo blancos y cinco en caballos marrones) dirigiéndose al campo de batalla, siendo dirigidos por los dos  primeros hombres (poseen diferente rango, ya que visten trajes militares diferentes a los otros cinco) Sobre el tema: El 6 de agosto de 1824, los ejércitos Realistas al mando del General José de Canterac e Independentistas  al mando del general Simón Bolívar se enfrentaron en el Lago de Junín, ese fue el penúltimo enfrentamiento armado hacia la independencia del Perú. Resultando victoriosos los independentistas.	Desconocida	Desconocido	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_064	c_11/02_02	Pinturas arte fino oleos	Acuarela;  escenas históricas,  guerras Perú del siglo XIX.			
Vitrina con maqueta	2	3																																											
Atiguo Plano de Arequipa	2	3		m01_s02_065_p	Maqueta del antiguo plano de Arequipa 	Vargas, Santiago	396483000008 (01)	Para ilustrar, comunicar  y registrar cómo era  la ciudad de Arequipa a finales de 1800.	Museo Histórico Municipal de Arequipa	92 cm	91.3 cm	No aplicable	No aplicable	No aplicable		Buen estado	Cartón pintado	Esta maqueta fue elaborada en alto relieve.  Restaurada por Fernán Zegarra y Núñez.   Se observa plano del centro histórico de la Ciudad de Arequipa (los nombres de las calles son diferentes, algunas de las antiguas construcciones han desaparecido- plano perteneciente aproximadamente a fines del siglo XIX e inicios de XX.	Probablemente finales del siglo XIX 	Desconocido	Desconocido	Probablemente finales del siglo XIX 	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Arquitectura colonial e independencia del Perú"""	"SALA 02 ""Arquitectura colonial e independencia del Perú)"			m01_s02_065_p	c_08/02_02; c_08/04_05	Arte comunicativo; Objetos documentales de comunicación.	Objeto artístico, maqueta arquitectonica de ciudades de Perú primera época republicana; registro  histórico arquitectónico de ciudades de Perú primera época repúblicana; trabajo en papel.			
																																													
SALA 3 Y 4																																													
COMBATE DEL 2 DE MAYO Y GUERRA DEL PACÍFICO	3-4																																												
Cnel. Mariano Emilio Bustamante - combatiente del Combate del 2 de mayo de 1865 de la Guerra con Chile.	3-4	p		m01_s03-04_066	Coronel Mariano Emilio Bustamante 	Rodríguez Zaconet, Guillermo	396439000543	Homenajear y rememorar su valiosa participación en una hazaña histórica de guerra, sucedida en el Perú, y destacarlo como un notable personaje arequipeño.	Museo Histórico Municipal de Arequipa	79 cm	58.5 cm	No aplicable	No aplicable	No aplicable	No definido	Conservado	Dibujo a carboncillo	Sobre la obra: En la obra se observa a un hombre (plano tres cuartos) y con el cuerpo ligeramente volteado hacia la derecha, vistiendo un traje de gala militar, con su mano izquierda toca su espada de parada y su mano derecha se apoya ligeramente sobre su bicornio el cual está colgado de su cinturón. Sobre el personaje: El coronel Bustamante nació en Arequipa el 5 de agosto de 1831 y falleció en 1880.   Héroe de la Campaña Restauradora de 1865 (Combate del 2 de Mayo  de 1866)  y de la Guerra con Chile (Batalla de Arica del 7 de junio de 1880) donde murió como Jefe del Estado Mayor de la octava división.  La Guerra con Chile fue un conflicto armado que enfrentó a Chile contra los aliados Perú y Bolivia, por causas económicas,  geopolíticas y territoriales. 	Desconocida	Desconocido	Desconocido. 	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Combate del 2 de mayo y guerra del Pacífico"""	"Sala 03-04 ""Combate del 2 de Mayo y Guerra del Pacífico"""			m01_s03-04_066	c_11/01_24	Dibujos como Arte fino	Dibujos; retratos históricos, personajes históricos, guerras Perú, siglo XIX.			
Cnel. José Alcides Villalba Araujo - combatiente vencedor del Combate del 2 de Mayo.	3-4	p		m01_s03-04_067	Coronel  José Alcides Villalba Araujo 	Desconocido	396439000535 (293)	Homenajear y rememorar su valiosa participación en una hazaña histórica de guerra, sucedida en el Perú, y destacarlo como un notable personaje arequipeño.	Museo Histórico Municipal de Arequipa	177 cm	98 cm	No aplicable	No aplicable	No aplicable	No definido	Buen estado	Oleo	Sobre la obra:  Se observa a un hombre con el rostro y cuerpo mirando hacia el frente, vestido con un traje formal y unas medallas en el saco a la altura del pecho.  Sobre el personaje relacionado: El coronel José Alcides Villalba nació en Arequipa el año de 1838 y falleció en 1919.  Fue un militar combatiente, declarado héroe nacional, vencedor del Combate del 2 de Mayo de 1866, ocurrido en las aguas del Puerto del Callao - Perú, como parte de la guerra hispano-sudamericana, donde se sello en definitiva la independencia del Perú.	Desconocida	Desconocido	Desconocido. 	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Combate del 2 de mayo y guerra del Pacífico"""	"Sala 03-04 ""Combate del 2 de Mayo y Guerra del Pacífico"""			m01_s03-04_067	c_11/02_07	Pinturas de arte fino	Oleo; retratos históricos, personajes históricos, guerras Perú, siglo XIX.			
Cnel. Isaac Recabaren - combatiente del Combate del 2 de Mayo.	3-4	p		m01_s03-04_068	Coronel  Isaac Recabaren	Rodríguez Zaconet, Guillermo	396439000421	Homenajear y rememorar su valiosa participación en una hazaña histórica de guerra, sucedida en el Perú, y destacarlo como un notable personaje arequipeño.	Museo Histórico Municipal de Arequipa	82 cm	61 cm	No aplicable	No aplicable	No aplicable	No definido	Conservado	Reproducciòn de fotografìa	Sobre la obra: Foto en blanco y negro, se observa  a un personaje con el cuerpo ligeramente volteado a la derecha, vistiendo un traje militar de gala,  sostiene una espada al lado izquierdo al lado derecho se observa un pequeña meza donde está su bicornio, con la mano del brazo derecho sobre el cinto que lleva atado a la cintura.  Sobre el personaje: El coronel Isaac Recabarren nació en Arequipa en el año de 1829.  Fue un combatiente vencedor del Combate del 2 de Mayo de 1866,  ocurrido en las aguas del Puerto del Callao - Perú, como parte de la guerra hispano-sudamericana, donde se sello en definitiva la independencia del Perú.	Desconocida	Desconocido	Desconocido. 	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Combate del 2 de mayo y guerra del Pacífico"""	"Sala 03-04 ""Combate del 2 de Mayo y Guerra del Pacífico"""			m01_s03-04_068	c_11/03_01_01	Pinturas de arte fino	Fotrografías arte fino, retrato, personajes históricos			
																																													
1 Vitrina con  piezas del Cnel. Alcides Villalba	3-4	1																																											
Kepí del Cnel. Alcides Villalba, declarado héroe nacional por su participación en el Combate del 2 de Mayo.	3-4	1		m01_s03-04_069	Bicornio o sombrero militar perteneciente al Coronel Alcides Villalba Araujo	Desconocido	746498140035 (396450000064)	Parte de la indumentaria militar para demostrar el rango del militar que lo portaba.	Museo Histórico Municipal de Arequipa	14 cm	10 cm	No aplicable	No aplicable	No aplicable	No definido	Conservado	plumaje color negro	Sobre la obra:  Sombrero (azul)  de alas recogidas hacia arriba formando dos picos (en el borde adornado de plumas). Parte de la indumentaria militar para demostrar el rango del militar que lo portaba.  Sobre el personaje relacionado:  El bicornio perteneció  al coronel José Alcides Villalba  quien nació en Arequipa el año de 1838 y falleció en 1919.  Fue un militar combatiente, declarado héroe nacional, vencedor del Combate del 2 de Mayo de 1866, ocurrido en las aguas del Puerto del Callao - Perú,      que formó parte de la Guerra hispano-sudamericana que enfrentó a España contra la alianza Chile, Perú, Bolivia y Ecuador desde 1865 a 1866,  para sellar en definitiva la independencia y dada la presencia de fuerzas de combate españolas en los territorios de estos países, que hicieron temer una reconquista. 	Probablemente alrededor de la segunda mitad del siglo XIX	p_02_03	Republicano	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Donación	Desconocido	Ninguna	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala  ""Combate del 2 de mayo y guerra del Pacífico"""	"Sala 03-04 ""Combate del 2 de Mayo y Guerra del Pacífico"""			m01_s03-04_069	c_08/07_02; c_08/04_09	Objetos para comunicación arte comunicativo Simbolos de Estado; objetos documentales de comunicación	Símbolos de Estado, uniforme militar, personajes histórico-militares,  guerras  Perú; reliquias históricas,  siglo XIX.			
